               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.023402,           0.0053358,                   0,             0.90143,             0.96341,             0.97761,             0.66439,            0.024183,           0.0032669,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.021428,           0.0048473,                   0,             0.89329,             0.97561,              0.9774,             0.64825,            0.024853,           0.0033483,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.022961,           0.0048947,                   0,             0.90999,             0.96341,              0.9832,             0.64409,            0.027064,           0.0032588,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.022522,           0.0051058,                   0,              0.9397,             0.95031,             0.98483,             0.66047,            0.026217,           0.0031707,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.022076,           0.0051142,                   0,             0.93837,             0.92839,             0.98299,              0.6578,            0.023852,           0.0032746,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.021795,           0.0050229,                   0,             0.89838,             0.97039,             0.97767,             0.62255,            0.026863,           0.0032172,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.021484,           0.0049209,                   0,             0.92499,             0.95122,             0.97353,             0.64319,            0.024059,           0.0031682,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.021398,            0.005076,                   0,             0.91897,             0.96818,             0.97429,             0.61253,            0.025327,           0.0032072,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.021057,           0.0048525,                   0,             0.91863,             0.97561,             0.97236,              0.6485,             0.02414,           0.0030458,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.020798,           0.0051771,                   0,             0.92922,             0.96341,             0.97588,             0.60916,            0.025842,           0.0030486,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.021642,           0.0049389,                   0,             0.93011,             0.97379,             0.97645,             0.65735,            0.024408,           0.0031239,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.021393,           0.0051097,                   0,             0.92675,             0.96341,             0.98119,             0.63518,            0.025339,           0.0030736,                   0,            0.003664,            0.003664,            0.003664
