               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10397,            0.021909,                   0,           0.0015041,             0.45122,           0.0025149,          0.00069754,             0.07952,            0.012121,                   0,            0.070194,           0.0033118,           0.0033118
                   1,            0.077722,            0.017085,                   0,            0.003252,             0.97561,             0.28901,            0.097761,            0.063213,           0.0085274,                   0,            0.040128,           0.0065794,           0.0065794
                   2,            0.065122,            0.015688,                   0,           0.0032927,              0.9878,              0.4103,             0.11871,            0.054459,           0.0085291,                   0,            0.009996,           0.0097809,           0.0097809
                   3,             0.05786,            0.016426,                   0,             0.49976,             0.34114,             0.40175,             0.11874,             0.06271,             0.00724,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.050689,            0.014628,                   0,              0.8137,              0.4878,             0.72708,             0.37712,            0.039789,           0.0077126,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.045416,            0.013222,                   0,             0.71646,             0.73961,             0.78725,             0.40272,            0.034743,           0.0068152,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042969,            0.011263,                   0,             0.63391,             0.73171,             0.78936,             0.42018,            0.038331,           0.0062288,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041592,            0.010352,                   0,             0.80561,             0.80866,             0.85463,             0.30964,            0.044106,            0.005485,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.03947,           0.0091735,                   0,             0.70695,             0.89024,             0.80076,             0.46847,            0.039196,           0.0050312,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039445,           0.0085135,                   0,             0.82024,               0.946,             0.95175,             0.61433,            0.028849,           0.0045919,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.036049,           0.0080313,                   0,             0.85585,             0.79268,             0.91027,             0.44453,            0.035787,           0.0045176,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.037006,           0.0084087,                   0,             0.90847,             0.87805,              0.9373,             0.40847,            0.039128,           0.0041026,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034544,           0.0074365,                   0,             0.86182,             0.90244,             0.93093,              0.5449,             0.03073,           0.0041186,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.034382,           0.0068439,                   0,             0.88785,             0.93902,             0.95699,             0.58366,             0.03103,           0.0040172,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033212,           0.0072372,                   0,             0.87701,             0.95663,             0.97706,             0.50595,            0.034938,           0.0038215,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032239,           0.0066405,                   0,             0.89851,             0.92683,             0.95102,             0.63059,            0.029745,           0.0038861,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.032414,           0.0066338,                   0,              0.9156,             0.91463,             0.96307,             0.66635,            0.026671,           0.0037716,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.031348,           0.0067957,                   0,             0.87387,             0.95122,             0.96105,              0.6521,            0.026437,           0.0037938,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.03145,           0.0067209,                   0,              0.9477,             0.88392,              0.9614,             0.63924,            0.025986,           0.0037661,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.031511,           0.0063855,                   0,             0.94105,             0.97338,             0.97722,             0.55497,            0.028983,           0.0035632,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.029236,           0.0065656,                   0,             0.88729,             0.96004,              0.9661,             0.55963,            0.033055,           0.0035383,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.030642,           0.0061974,                   0,              0.9183,             0.95956,             0.97066,             0.60419,            0.025988,           0.0036327,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.028877,           0.0060313,                   0,             0.93902,             0.93899,             0.97479,             0.66133,            0.024418,           0.0034618,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.028986,           0.0060681,                   0,              0.9396,             0.89024,             0.96988,             0.57098,            0.032076,           0.0034649,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.027591,           0.0058657,                   0,             0.91831,             0.91463,             0.97343,             0.67559,            0.026573,           0.0033644,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.028504,           0.0060588,                   0,             0.90426,             0.92151,              0.9678,             0.53008,            0.029294,           0.0034954,                   0,            0.007624,            0.007624,            0.007624
