epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,481.148,2.25486,1.58683,2.20033,0.8151,0.91395,0.91073,0.58983,2.45686,1.44095,2.26858,0.0009176,0.0009176,0.0009176
43,492.151,2.30955,1.63832,2.18024,0.86544,0.89024,0.92976,0.56038,2.71941,1.53615,2.37862,0.0008912,0.0008912,0.0008912
44,503.094,2.2788,1.50459,2.195,0.80243,0.82927,0.91942,0.60272,2.54665,1.40942,2.32978,0.0008648,0.0008648,0.0008648
45,514.133,2.25898,1.49231,2.20633,0.77863,0.9008,0.9198,0.59843,2.53253,1.39626,2.29494,0.0008384,0.0008384,0.0008384
46,525.132,2.19238,1.52879,2.1508,0.79573,0.92683,0.89611,0.62642,2.34779,1.30397,2.26886,0.000812,0.000812,0.000812
47,536.137,2.18294,1.46637,2.1579,0.83615,0.87129,0.91165,0.58435,2.48832,1.40405,2.2851,0.0007856,0.0007856,0.0007856
48,547.036,2.2499,1.51007,2.20834,0.86485,0.93653,0.9471,0.61395,2.57446,1.29146,2.36622,0.0007592,0.0007592,0.0007592
49,558.204,2.21991,1.47518,2.17039,0.8582,0.88573,0.94074,0.64423,2.34852,1.26173,2.22479,0.0007328,0.0007328,0.0007328
50,569.51,2.20788,1.51995,2.19359,0.87906,0.88647,0.95267,0.63569,2.61552,1.2684,2.34088,0.0007064,0.0007064,0.0007064
51,580.743,2.11926,1.42221,2.12837,0.92174,0.86186,0.94498,0.6157,2.63912,1.31449,2.33562,0.00068,0.00068,0.00068
52,592.076,2.11676,1.34698,2.13153,0.88676,0.92683,0.95332,0.62911,2.59418,1.21799,2.28215,0.0006536,0.0006536,0.0006536
53,603.042,2.11499,1.32424,2.1161,0.91441,0.912,0.95448,0.6174,2.73636,1.22395,2.30055,0.0006272,0.0006272,0.0006272
54,614.301,2.12718,1.39936,2.12895,0.88682,0.92683,0.94652,0.60985,2.73197,1.24542,2.28844,0.0006008,0.0006008,0.0006008
55,625.81,2.10928,1.33051,2.12136,0.92718,0.86585,0.9622,0.59863,2.85471,1.32466,2.36863,0.0005744,0.0005744,0.0005744
