epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2100.5,1.0844,0.72319,1.12659,0.85051,0.97561,0.9579,0.64624,1.1567,0.66895,1.1209,0.0011882,0.0011882,0.0011882
43,2125.69,1.03656,0.67188,1.08236,0.91317,0.90244,0.9252,0.64813,1.11733,0.70426,1.08409,0.0011684,0.0011684,0.0011684
44,2150.98,1.05806,0.70555,1.08337,0.91534,0.923,0.95562,0.67619,1.07718,0.67598,1.08791,0.0011486,0.0011486,0.0011486
45,2175.68,1.02467,0.68937,1.06241,0.90165,0.95122,0.92907,0.6009,1.27734,0.75138,1.15052,0.0011288,0.0011288,0.0011288
46,2200.83,1.0248,0.69502,1.08274,0.89078,0.95122,0.96588,0.6574,1.1556,0.63617,1.10562,0.001109,0.001109,0.001109
47,2226.59,1.02775,0.67934,1.08341,0.89723,0.95823,0.96902,0.66244,1.16223,0.64837,1.1234,0.0010892,0.0010892,0.0010892
48,2251.45,1.0523,0.66123,1.09084,0.88731,0.96029,0.94505,0.59418,1.30592,0.66635,1.16126,0.0010694,0.0010694,0.0010694
49,2276.87,1.03091,0.67141,1.08139,0.92515,0.92683,0.97454,0.64893,1.21634,0.61577,1.13562,0.0010496,0.0010496,0.0010496
50,2301.83,1.01802,0.65996,1.05978,0.88744,0.96341,0.96491,0.62635,1.22091,0.68057,1.16875,0.0010298,0.0010298,0.0010298
51,2326.46,1.05303,0.66287,1.08133,0.86997,0.9878,0.97621,0.64012,1.18709,0.60249,1.16591,0.00101,0.00101,0.00101
52,2351.77,1.05,0.68527,1.08387,0.89615,0.92683,0.96861,0.68164,1.10255,0.63098,1.10313,0.0009902,0.0009902,0.0009902
53,2378.04,1.01422,0.6554,1.06508,0.90543,0.92683,0.95042,0.58992,1.31917,0.68048,1.19237,0.0009704,0.0009704,0.0009704
54,2405.1,1.00016,0.64074,1.04639,0.8852,0.94034,0.97278,0.63165,1.19917,0.68294,1.1468,0.0009506,0.0009506,0.0009506
55,2433.79,0.9657,0.62775,1.05734,0.88685,0.9559,0.96084,0.61236,1.26497,0.6909,1.15427,0.0009308,0.0009308,0.0009308
56,2458.29,0.99887,0.6258,1.06659,0.88763,0.96329,0.96836,0.67128,1.11821,0.60199,1.09956,0.000911,0.000911,0.000911
57,2483.13,0.96823,0.63862,1.04433,0.90222,0.93902,0.96606,0.63395,1.23353,0.65514,1.15858,0.0008912,0.0008912,0.0008912
58,2507.98,0.96702,0.62224,1.05365,0.89923,0.92683,0.96741,0.68764,1.0412,0.58761,1.06286,0.0008714,0.0008714,0.0008714
59,2533.52,0.96015,0.60845,1.04414,0.90514,0.95122,0.97801,0.64612,1.20077,0.63147,1.13621,0.0008516,0.0008516,0.0008516
60,2558.54,0.97165,0.63822,1.06333,0.93961,0.93902,0.97844,0.66506,1.15501,0.5928,1.14368,0.0008318,0.0008318,0.0008318
61,2583.35,0.95621,0.59107,1.0579,0.9078,0.96061,0.96767,0.65289,1.18048,0.62039,1.11959,0.000812,0.000812,0.000812
62,2608.41,0.98367,0.63424,1.06417,0.89697,0.96341,0.97758,0.65036,1.20214,0.60321,1.15178,0.0007922,0.0007922,0.0007922
63,2633.05,0.95934,0.60296,1.04362,0.90797,0.96255,0.977,0.66267,1.18312,0.59132,1.13099,0.0007724,0.0007724,0.0007724
64,2657.97,0.95526,0.59054,1.05244,0.91823,0.92683,0.96125,0.64621,1.2105,0.58669,1.14443,0.0007526,0.0007526,0.0007526
65,2684.23,0.98346,0.62606,1.04531,0.93768,0.91747,0.97533,0.66708,1.12921,0.57001,1.12129,0.0007328,0.0007328,0.0007328
66,2709.28,0.9586,0.60061,1.04426,0.90077,0.96341,0.97928,0.66391,1.14787,0.59857,1.13445,0.000713,0.000713,0.000713
67,2734.51,0.91468,0.58554,1.03252,0.95056,0.89024,0.97838,0.67318,1.11842,0.58261,1.09049,0.0006932,0.0006932,0.0006932
68,2759.71,0.94784,0.58329,1.03729,0.90472,0.97561,0.97281,0.66085,1.18394,0.58782,1.09868,0.0006734,0.0006734,0.0006734
69,2784.65,0.94323,0.59956,1.04019,0.87873,0.97561,0.92711,0.60126,1.22538,0.64339,1.12611,0.0006536,0.0006536,0.0006536
70,2809.52,0.91346,0.56395,1.0146,0.92619,0.95122,0.97795,0.67252,1.16288,0.57798,1.09341,0.0006338,0.0006338,0.0006338
71,2834.75,0.92074,0.58376,1.02841,0.89878,0.97455,0.97107,0.69027,1.03551,0.5299,1.06849,0.000614,0.000614,0.000614
72,2859.69,0.92377,0.57257,1.0242,0.89807,0.97561,0.97598,0.65296,1.17239,0.54421,1.11599,0.0005942,0.0005942,0.0005942
73,2884.29,0.93101,0.573,1.0153,0.89447,0.97561,0.95127,0.65654,1.13732,0.61762,1.1099,0.0005744,0.0005744,0.0005744
74,2909.21,0.93437,0.56218,1.02557,0.89886,0.97545,0.97704,0.63959,1.2407,0.61857,1.18634,0.0005546,0.0005546,0.0005546
75,2934.17,0.92258,0.55213,1.03029,0.88808,0.96769,0.97407,0.6613,1.18077,0.58944,1.12167,0.0005348,0.0005348,0.0005348
76,2959.02,0.90244,0.57238,1.02338,0.8986,0.97272,0.95925,0.64087,1.1538,0.60382,1.10444,0.000515,0.000515,0.000515
77,2984.56,0.89102,0.53172,1.00755,0.92539,0.95122,0.97333,0.67323,1.12793,0.57461,1.08672,0.0004952,0.0004952,0.0004952
78,3009.83,0.89597,0.53948,1.00236,0.91626,0.93407,0.97849,0.70436,1.02574,0.50574,1.07872,0.0004754,0.0004754,0.0004754
79,3034.62,0.91686,0.56403,1.00953,0.93968,0.94989,0.95533,0.62728,1.2187,0.5652,1.13274,0.0004556,0.0004556,0.0004556
80,3059.85,0.91555,0.55673,1.02365,0.92011,0.95122,0.98071,0.67721,1.1512,0.54716,1.10817,0.0004358,0.0004358,0.0004358
81,3084.93,0.89778,0.54626,1.01381,0.94046,0.96312,0.97416,0.68465,1.05353,0.51099,1.07442,0.000416,0.000416,0.000416
