epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,482.702,2.34284,1.70043,2.27206,0.82827,0.88229,0.93759,0.59531,2.69686,1.35585,2.43157,0.0011882,0.0011882,0.0011882
43,494.031,2.37006,1.69392,2.2552,0.79068,0.89024,0.90967,0.59591,2.65258,1.35603,2.40181,0.0011684,0.0011684,0.0011684
44,505.316,2.32949,1.58196,2.25263,0.89451,0.82727,0.93862,0.57983,2.69654,1.33356,2.41928,0.0011486,0.0011486,0.0011486
45,516.68,2.29698,1.52597,2.24659,0.81697,0.87805,0.88628,0.55933,2.66937,1.40875,2.42047,0.0011288,0.0011288,0.0011288
46,527.988,2.24135,1.57863,2.2102,0.81398,0.84146,0.91012,0.58834,2.48542,1.31518,2.35581,0.001109,0.001109,0.001109
47,539.377,2.23233,1.50862,2.22905,0.82934,0.88894,0.92988,0.616,2.47268,1.21211,2.41562,0.0010892,0.0010892,0.0010892
48,550.458,2.36007,1.5805,2.2998,0.87081,0.80488,0.93866,0.60654,2.48219,1.31799,2.3902,0.0010694,0.0010694,0.0010694
49,561.933,2.27999,1.56266,2.22727,0.84713,0.89024,0.94436,0.62542,2.49412,1.24503,2.35998,0.0010496,0.0010496,0.0010496
50,573.151,2.30931,1.62308,2.27301,0.94716,0.81707,0.95162,0.59396,2.81296,1.3286,2.56329,0.0010298,0.0010298,0.0010298
51,584.289,2.18868,1.49069,2.19487,0.89105,0.86585,0.94852,0.62258,2.59649,1.26216,2.44371,0.00101,0.00101,0.00101
52,595.568,2.25814,1.44453,2.20655,0.7875,0.90388,0.9257,0.62398,2.44851,1.30144,2.3632,0.0009902,0.0009902,0.0009902
53,606.689,2.18625,1.39526,2.17638,0.77987,0.93902,0.9319,0.60362,2.58819,1.27556,2.43588,0.0009704,0.0009704,0.0009704
54,617.979,2.17809,1.42533,2.19624,0.86366,0.85366,0.93577,0.62416,2.52228,1.28875,2.34893,0.0009506,0.0009506,0.0009506
55,629.2,2.20464,1.43216,2.18273,0.9037,0.80488,0.93305,0.58568,2.67743,1.39253,2.40844,0.0009308,0.0009308,0.0009308
56,640.372,2.13901,1.40696,2.19333,0.82085,0.89405,0.92587,0.57384,2.73829,1.30597,2.4757,0.000911,0.000911,0.000911
57,651.503,2.20219,1.37456,2.18001,0.83691,0.92683,0.94859,0.63927,2.53663,1.15024,2.31147,0.0008912,0.0008912,0.0008912
58,662.836,2.12827,1.38594,2.17278,0.94476,0.83439,0.95036,0.61253,2.54534,1.17368,2.331,0.0008714,0.0008714,0.0008714
59,674.206,2.22055,1.41164,2.19932,0.90376,0.91463,0.95643,0.63285,2.43016,1.11841,2.25764,0.0008516,0.0008516,0.0008516
60,685.347,2.1576,1.36109,2.14488,0.82754,0.93631,0.95648,0.64142,2.45948,1.12298,2.30383,0.0008318,0.0008318,0.0008318
61,696.622,2.07277,1.28156,2.14511,0.81867,0.936,0.94579,0.63637,2.56963,1.18003,2.31722,0.000812,0.000812,0.000812
62,707.856,2.12482,1.35399,2.12898,0.88247,0.91566,0.95291,0.59781,2.70155,1.19843,2.40746,0.0007922,0.0007922,0.0007922
63,719.092,2.12871,1.33193,2.1504,0.95835,0.84146,0.96812,0.65039,2.5122,1.07996,2.38821,0.0007724,0.0007724,0.0007724
64,730.249,2.12742,1.36131,2.1753,0.82494,0.93902,0.9507,0.63922,2.42679,1.16198,2.35683,0.0007526,0.0007526,0.0007526
65,741.585,2.12503,1.37937,2.19706,0.89987,0.89024,0.96671,0.64824,2.51211,1.11118,2.38118,0.0007328,0.0007328,0.0007328
