               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.021264,           0.0050996,                   0,             0.91488,             0.95122,             0.96871,             0.64783,            0.022886,           0.0031492,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.020088,           0.0046894,                   0,             0.90575,             0.97561,               0.966,             0.66325,             0.02303,           0.0031413,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019965,            0.004734,                   0,             0.90516,             0.96341,             0.96905,             0.67821,            0.023053,           0.0031286,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.020191,           0.0048686,                   0,              0.9046,             0.96341,             0.96519,             0.64457,            0.024332,           0.0031103,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.019861,           0.0049504,                   0,              0.9312,             0.95122,             0.97208,             0.68729,            0.022601,           0.0030944,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.01965,            0.004843,                   0,             0.92449,             0.96341,             0.97176,             0.65097,            0.023482,           0.0031765,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019462,           0.0047759,                   0,             0.89388,             0.97561,             0.96962,              0.6485,            0.022998,           0.0031787,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.019345,           0.0049317,                   0,             0.89779,              0.9641,             0.96775,             0.65587,            0.023301,           0.0031952,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01936,            0.004728,                   0,             0.90772,             0.96341,              0.9715,             0.63531,            0.024036,           0.0031242,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.019119,            0.005068,                   0,             0.90078,             0.96341,             0.97321,             0.66288,            0.023027,           0.0031091,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.019265,           0.0047087,                   0,             0.89853,             0.97196,             0.97164,             0.65485,            0.023885,           0.0031404,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.01914,           0.0049516,                   0,             0.89744,             0.96341,              0.9712,             0.66089,            0.022276,           0.0031087,                   0,            0.000496,            0.000496,            0.000496
